# || Attribute || Data type || Behaviours || Description
1 || ID || String || Required, System Generated || Unique identifier of remittance quote
2 || Remittance Transaction || Association | Link of ref data || Required || Reference to remittance transaction
3 || Sending Amount || Decimal || Editable || Amount entered by sender
4 || Receiving Amount || Decimal || Calculated || Amount receiver will receive
5 || Rate || Link || Calculated || Exchange rate applied
6 || Applied Margin || Link || Calculated || Margin applied to rate
7 || Service Charge || Decimal || Calculated || Transaction fee
8 || Tax || Decimal || Calculated || Applicable tax
9 || Discount || Decimal || Optional || Discount amount
10 || Status || Enum || System Controlled || Draft, Active, Expired
# || Attribute || Data type || Behaviours || Description
1 || Transaction ID || String || System-generated, unique, immutable || Unique identifier assigned to each remittance transaction.
2 || Sending Currency || Reference (Currency) || Required, selected from configured currencies || Currency in which the sender initiates the transaction.
3 || Receiving Currency || Reference (Currency) || Required, validated against corridor and service configuration || Currency in which the beneficiary receives the funds.
4 || Sending Country || Reference (Country) || Required, selected from configured country list || Country from which the remittance transaction originates.
5 || Receiving Country || Reference (Country) || Required, selected from configured country list || Destination country where the remittance is delivered.
6 || Corridor || Reference (Corridor) || Auto-derived or manually selected based on sending and receiving countries || Defines the remittance route between source and destination countries and determines applicable partners, rails, pricing, and compliance rules.
# || Attribute || Data type || Behaviours || Description
1 || Product and Service Classification ID || System Generated ID || Required, Unique || Unique identifier of the Product and Service Classification
2 || Product and Service Classification Name || String || Required || Name of the Product and Service Classification
3 || Product Classification || Link || Required || Reference to Product Classification
4 || Service Classification || Association || Required || Reference to Service Classification
5 || List of Value Components || Link || Optional || List of Value Components applicable to the classification
# || Attribute || Data type || Behaviours || Description
1 || ID || System Generated ID || Required, Unique || Unique identifier of Product Classification
2 || Name || String || Required || Name of Product Classification
3 || Description || String || Optional || Description of Product Classification
4 || Product Classification || Self Reference || Optional || Parent classification for hierarchy support
5 || Status ||  ||  || 
# || Attribute || Data type || Behaviours || Description
1 || Product ID || System Generated ID || Required, Unique || Unique identifier of Product
2 || Product Name || String || Required || Name of Product
3 || Product Classification || Link || Required || Product Classification assigned to the Product
4 || Product Type || Reference Data || Required || Defines the nature of Product
5 || Product Component || Reference Data || Required || Actual data source linked to Product Type
6 || Product and Service Classification || Link || Required || Defines valid Product-Service relationship
7 || Has Dynamic Attributes || Link || Optional || Indicates whether dynamic attributes are enabled
8 || Service || Link || Optional || Services linked to Product
# || Attribute || Data type || Behaviours || Description
# || Attribute || Data Type || Behaviour || Description
1 || Attribute ID || System Generated ID || Required, Unique || Unique identifier of Dynamic Attribute
2 || Product ID || Association || Required || Reference to Product
3 || Product Name || Derived || required || Product Name associated with Product ID
4 || Product Classification || Derived || Required || Product Type associated with Product
5 || Attribute Name || String || Required || Name of Dynamic Attribute
6 || Attribute Value || String || Optional || Value of Dynamic Attribute
7 || Attribute Type || Reference Data || Required || Data type of the Attribute
# || Attribute || Data type || Behaviours || Description
1 || Product || Link || Required || Product linked to the service
2 || Service || Link || Required || Service linked to the product
3 || List of Value Components || Link || Optional || Value Components applicable to the Product-Service relationship
# || Attribute || Data Type || Behaviours || Description
